retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
diamonds by zoya,lab,oval,Excellent,Excellent,None,799.0,739.81,15.0,15.0,super ideal,G,VVS2,1.08,IGI,799.0,739.81
jane brear,lab,oval,Excellent,Excellent,None,823.0,762.04,15.0,15.0,super ideal,G,VVS2,1.08,IGI,823.0,762.04
mei & co,lab,oval,Excellent,Excellent,None,797.0,737.96,15.0,15.0,super ideal,G,VVS2,1.08,IGI,797.0,737.96
michelle kennedy,lab,oval,Excellent,Excellent,None,828.0,766.67,15.0,15.0,super ideal,G,VVS2,1.08,IGI,828.0,766.67
nebula stones,lab,oval,Excellent,Excellent,None,822.0,761.11,15.0,15.0,super ideal,G,VVS2,1.08,IGI,822.0,761.11
nova stars,lab,oval,Excellent,Excellent,None,801.97,742.56,15.0,15.0,super ideal,G,VVS2,1.08,IGI,801.97,742.56
periwinkle stones,lab,oval,Excellent,Excellent,None,835.8,773.89,15.0,15.0,super ideal,G,VVS2,1.08,IGI,835.8,773.89
rosella,lab,oval,Excellent,Excellent,None,780.0,722.22,15.0,15.0,super ideal,G,VVS2,1.08,IGI,780.0,722.22
serene peaks diamonds,lab,oval,Excellent,Excellent,None,810.92,750.85,15.0,15.0,super ideal,G,VVS2,1.08,IGI,810.92,750.85
starlight crafts,lab,oval,Excellent,Very Good,None,799.0,739.81,15.0,15.0,super ideal,G,VVS2,1.08,IGI,799.0,739.81
taiga gems,lab,oval,Excellent,Excellent,None,805.0,745.37,15.0,15.0,super ideal,G,VVS2,1.08,IGI,805.0,745.37
avignon diamonds,lab,round,Excellent,Excellent,None,804.0,773.08,18.0,18.0,super ideal,F,VVS2,1.04,IGI,804.0,773.08
camden gems,lab,round,Excellent,Excellent,None,802.0,771.15,18.0,18.0,super ideal,F,VVS2,1.04,IGI,802.0,771.15
ember star,lab,round,Excellent,Excellent,None,811.0,779.81,18.0,18.0,super ideal,F,VVS2,1.04,IGI,811.0,779.81
equinox jewels,lab,round,Excellent,Excellent,None,806.0,775.0,18.0,18.0,super ideal,F,VVS2,1.04,IGI,806.0,775.0
hazel diamonds,lab,round,Excellent,Excellent,None,797.0,766.35,18.0,18.0,super ideal,F,VVS2,1.04,IGI,797.0,766.35
hoseki,lab,round,Excellent,Excellent,None,825.85,794.09,18.0,18.0,super ideal,F,VVS2,1.04,IGI,825.85,794.09
jane brear,lab,round,Excellent,Excellent,None,839.0,806.73,18.0,18.0,super ideal,F,VVS2,1.04,IGI,839.0,806.73
knox diamonds,lab,round,Excellent,Excellent,None,801.0,770.19,18.0,18.0,super ideal,F,VVS2,1.04,IGI,801.0,770.19
marlowe & co,lab,round,Excellent,Excellent,None,821.0,789.42,18.0,18.0,super ideal,F,VVS2,1.04,IGI,821.0,789.42
michelle kennedy,lab,round,Very Good,Excellent,None,838.0,805.77,18.0,18.0,super ideal,F,VVS2,1.04,IGI,838.0,805.77
nova stars,lab,round,Excellent,Excellent,None,806.0,775.0,18.0,18.0,super ideal,F,VVS2,1.04,IGI,806.0,775.0
oasis diamonds,lab,round,Excellent,Excellent,None,840.78,808.44,18.0,18.0,super ideal,F,VVS2,1.04,IGI,840.78,808.44
roma diamonds,lab,round,Excellent,Excellent,None,813.0,781.73,18.0,18.0,super ideal,F,VVS2,1.04,IGI,813.0,781.73
serenade diamonds,lab,round,Excellent,Excellent,None,785.0,754.81,18.0,18.0,super ideal,F,VVS2,1.04,IGI,785.0,754.81
starlight crafts,lab,round,Excellent,Excellent,None,802.0,771.15,18.0,18.0,super ideal,F,VVS2,1.04,IGI,802.0,771.15
starlit stones,lab,round,Excellent,Excellent,None,805.0,774.04,18.0,18.0,super ideal,F,VVS2,1.04,IGI,805.0,774.04
taiga gems,lab,round,Excellent,Excellent,None,827.0,795.19,18.0,18.0,super ideal,F,VVS2,1.04,IGI,827.0,795.19
temperley,lab,round,Excellent,Excellent,None,839.0,806.73,18.0,18.0,super ideal,F,VVS2,1.04,IGI,839.0,806.73
tierra mia diamonds,lab,round,Excellent,Excellent,None,809.76,778.62,18.0,18.0,super ideal,F,VVS2,1.04,IGI,809.76,778.62
tilia diamonds,lab,round,Excellent,Excellent,None,815.0,783.65,18.0,18.0,super ideal,F,VVS2,1.04,IGI,815.0,783.65
vespera gems,lab,round,Excellent,Excellent,None,805.9,774.9,18.0,18.0,super ideal,F,VVS2,1.04,IGI,805.9,774.9
white lily,lab,round,Excellent,Excellent,None,839.0,806.73,18.0,18.0,super ideal,F,VVS2,1.04,IGI,839.0,806.73
taiga gems,lab,round,Excellent,Excellent,None,1948.0,808.3,18.0,18.0,super ideal,G,SI1,2.41,IGI,1948.0,808.3
cirrus gems,lab,round,Excellent,Excellent,None,1400.43,927.44,18.0,18.0,ideal,G,VVS2,1.51,IGI,1400.43,927.44
clermont diamonds,lab,round,Excellent,Excellent,None,1407.92,932.4,18.0,18.0,ideal,G,VVS2,1.51,IGI,1407.92,932.4
ember star,lab,round,Excellent,Excellent,None,1409.0,933.11,18.0,18.0,ideal,G,VVS2,1.51,IGI,1409.0,933.11
fabiola,lab,round,Excellent,Excellent,None,1410.0,933.77,18.0,18.0,ideal,G,VVS2,1.51,IGI,1410.0,933.77
jane brear,lab,round,Excellent,Excellent,None,1426.0,944.37,18.0,18.0,ideal,G,VVS2,1.51,IGI,1426.0,944.37
mei & co,lab,round,Excellent,Excellent,None,1393.0,922.52,18.0,18.0,ideal,G,VVS2,1.51,IGI,1393.0,922.52
michelle kennedy,lab,round,Excellent,Excellent,None,1433.0,949.01,18.0,18.0,ideal,G,VVS2,1.51,IGI,1433.0,949.01
nova stars,lab,round,Excellent,Excellent,None,1397.0,925.17,18.0,18.0,ideal,G,VVS2,1.51,IGI,1397.0,925.17
rosella,lab,round,Excellent,Excellent,None,1371.0,907.95,18.0,18.0,ideal,G,VVS2,1.51,IGI,1371.0,907.95
sonata gems,lab,round,Excellent,Excellent,None,1399.0,926.49,18.0,18.0,ideal,G,VVS2,1.51,IGI,1399.0,926.49
starlight crafts,lab,round,Excellent,Very Good,None,1397.0,925.17,18.0,18.0,ideal,G,VVS2,1.51,IGI,1397.0,925.17
temperley,lab,round,Excellent,Excellent,None,1439.0,952.98,18.0,18.0,ideal,G,VVS2,1.51,IGI,1439.0,952.98
white lily,lab,round,Excellent,Excellent,None,1442.0,954.97,18.0,18.0,ideal,G,VVS2,1.51,IGI,1442.0,954.97
woodhouse diamonds,lab,round,Excellent,Excellent,None,1394.0,923.18,18.0,18.0,ideal,G,VVS2,1.51,IGI,1394.0,923.18
hazel diamonds,lab,round,Very Good,Excellent,None,1184.0,763.87,18.0,18.0,super ideal,H,VS1,1.55,IGI,1184.0,763.87
jane brear,lab,round,Excellent,Excellent,None,1239.77,799.85,18.0,18.0,super ideal,H,VS1,1.55,IGI,1239.77,799.85
meridian crafts,lab,round,Excellent,Excellent,None,1246.0,803.87,18.0,18.0,super ideal,H,VS1,1.55,IGI,1246.0,803.87
michelle kennedy,lab,round,Excellent,Excellent,None,1257.0,810.97,18.0,18.0,super ideal,H,VS1,1.55,IGI,1257.0,810.97
temperley,lab,round,Excellent,Excellent,None,1235.0,796.77,18.0,18.0,super ideal,H,VS1,1.55,IGI,1235.0,796.77
vespera gems,lab,round,Excellent,Excellent,None,1216.0,784.52,18.0,18.0,super ideal,H,VS1,1.55,IGI,1216.0,784.52
white lily,lab,round,Excellent,Excellent,None,1239.77,799.85,18.0,18.0,super ideal,H,VS1,1.55,IGI,1239.77,799.85
temperley,lab,round,Excellent,Excellent,None,2793.0,1355.83,18.0,18.0,super ideal,G,VVS1,2.06,IGI,2793.0,1355.83
cirrus gems,lab,round,Excellent,Excellent,None,3974.0,1505.3,18.0,18.0,super ideal,F,VVS2,2.64,IGI,3974.0,1505.3
diamonds by zoya,lab,round,Excellent,Excellent,None,4174.0,1581.06,18.0,18.0,super ideal,F,VVS2,2.64,IGI,4174.0,1581.06
equinox jewels,lab,round,Excellent,Excellent,None,4116.0,1559.09,18.0,18.0,super ideal,F,VVS2,2.64,IGI,4116.0,1559.09
eterna luxe,lab,round,Excellent,Excellent,None,4124.0,1562.12,18.0,18.0,super ideal,F,VVS2,2.64,IGI,4124.0,1562.12
jane brear,lab,round,Excellent,Excellent,None,4139.0,1567.8,18.0,18.0,super ideal,F,VVS2,2.64,IGI,4139.0,1567.8
michelle kennedy,lab,round,Excellent,Excellent,None,4142.0,1568.94,18.0,18.0,super ideal,F,VVS2,2.64,IGI,4142.0,1568.94
