retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
rya diamonds,natural,round,Excellent,Excellent,None,458.0,1761.54,18.0,18.0,super ideal,H,VVS2,0.26,GIA,458.0,1761.54
temperley,natural,marquise,Excellent,Excellent,None,6450.0,8062.5,15.0,15.0,ideal,D,IF,0.8,GIA,6450.0,8062.5
white lily,natural,marquise,Very Good,Excellent,None,6859.0,8573.75,14.0,15.0,ideal,D,IF,0.8,GIA,6859.0,8573.75
henry wirth,natural,princess,Excellent,Very Good,None,6487.0,4212.34,14.0,15.0,ideal,E,SI2,1.54,GIA,6487.0,4212.34
belle diamonds,natural,round,Excellent,Excellent,Faint,810.0,2025.0,18.0,18.0,ideal,E,VVS2,0.4,GIA,810.0,2025.0
cosmic gems,natural,round,Excellent,Excellent,Faint,742.0,1855.0,18.0,18.0,ideal,E,VVS2,0.4,GIA,742.0,1855.0
crown jewels,natural,round,Excellent,Excellent,None,950.0,2375.0,18.0,18.0,ideal,E,VVS2,0.4,GIA,950.0,2375.0
eccles diamonds,natural,round,Excellent,Excellent,Strong,781.0,1952.5,17.0,18.0,ideal,E,VVS2,0.4,GIA,781.0,1952.5
epiphany diamonds,natural,round,Excellent,Excellent,Faint,810.0,2025.0,17.0,18.0,ideal,E,VVS2,0.4,GIA,810.0,2025.0
h & co.,natural,round,Excellent,Excellent,None,985.0,2462.5,18.0,18.0,ideal,E,VVS2,0.4,GIA,985.0,2462.5
helene mitchell,natural,round,Excellent,Very Good,Faint,885.0,2212.5,18.0,18.0,ideal,E,VVS2,0.4,GIA,885.0,2212.5
isabel ervin,natural,round,Excellent,Excellent,None,895.0,2237.5,17.0,18.0,ideal,E,VVS2,0.4,GIA,895.0,2237.5
jane brear,natural,round,Excellent,Excellent,None,1657.0,4142.5,18.0,18.0,ideal,E,VVS2,0.4,GIA,1657.0,4142.5
kiara gems,natural,round,Excellent,Excellent,Faint,825.0,2062.5,18.0,18.0,ideal,E,VVS2,0.4,GIA,825.0,2062.5
liliane hans,natural,round,Excellent,Excellent,Faint,810.0,2025.0,18.0,18.0,ideal,E,VVS2,0.4,GIA,810.0,2025.0
michelle kennedy,natural,round,Excellent,Excellent,None,1614.0,4035.0,18.0,18.0,ideal,E,VVS2,0.4,GIA,1614.0,4035.0
nara diamonds,natural,round,Excellent,Excellent,Medium,971.0,2427.5,18.0,18.0,ideal,E,VVS2,0.4,GIA,971.0,2427.5
rya diamonds,natural,round,Excellent,Excellent,None,928.0,2320.0,17.0,18.0,ideal,E,VVS2,0.4,GIA,928.0,2320.0
temperley,natural,round,Excellent,Excellent,None,1618.0,4045.0,18.0,18.0,ideal,E,VVS2,0.4,GIA,1618.0,4045.0
white lily,natural,round,Excellent,Very Good,None,1595.0,3987.5,18.0,18.0,ideal,E,VVS2,0.4,GIA,1595.0,3987.5
mark & mason,natural,round,Excellent,Excellent,None,4121.0,3746.36,18.0,18.0,super ideal,H,VS1,1.1,GIA,4121.0,3746.36
michelle kennedy,natural,round,Excellent,Excellent,None,8109.0,7371.82,18.0,18.0,super ideal,H,VS1,1.1,GIA,8109.0,7371.82
naomi marques,natural,round,Excellent,Excellent,None,5455.0,4959.09,18.0,18.0,super ideal,H,VS1,1.1,GIA,5455.0,4959.09
temperley,natural,round,Excellent,Excellent,None,8295.0,7540.91,18.0,18.0,super ideal,H,VS1,1.1,GIA,8295.0,7540.91
