cut,color,clarity,carat,report,shape,price
Ideal,J,VVS1,0.4,GIA,Round,715.0
Very Good,I,IF,2.0,GIA,Round,15810.0
Super Ideal,H,VS2,1.83,GIA,Round,16020.0
Very Good,E,SI1,1.71,GIA,Heart,10720.0
Super Ideal,F,VS1,0.5,GIA,Oval,1615.0
Super Ideal,H,VVS2,0.57,GIA,Round,1973.33
Very Good,D,SI1,0.3,GIA,Oval,689.09
Very Good,D,VS2,0.4,GIA,Marquise,903.33
Super Ideal,I,VVS2,0.51,GIA,Round,1586.67
Ideal,F,VS1,0.55,GIA,Princess,1540.0
Super Ideal,G,VVS1,0.53,GIA,Emerald,1595.0
Super Ideal,H,SI2,0.62,GIA,Round,1490.0
Very Good,F,SI1,1.01,GIA,Round,5262.5
Super Ideal,I,VVS1,1.04,GIA,Round,6210.0
Super Ideal,I,SI2,1.29,GIA,Oval,5910.0
Super Ideal,F,VS1,1.5,GIA,Pear,12200.0
Ideal,G,SI2,0.72,GIA,Marquise,1780.0
Ideal,I,SI1,0.9,GIA,Cushion,3080.0
Ideal,D,VS1,0.61,GIA,Pear,2090.0
Super Ideal,F,SI1,1.8,GIA,Round,14506.0
Super Ideal,I,SI1,0.8,GIA,Radiant,1680.0
Super Ideal,H,VS1,1.73,GIA,Emerald,12390.0
Very Good,H,IF,0.6,GIA,Emerald,1325.0
Super Ideal,H,VS2,0.51,GIA,Emerald,1070.0
Very Good,F,VS1,0.5,GIA,Heart,1550.0
Super Ideal,D,VVS2,1.08,GIA,Round,11880.0
Very Good,G,VVS1,0.73,GIA,Round,5090.0
Super Ideal,H,SI2,0.91,GIA,Oval,3410.0
Super Ideal,E,FL,0.81,GIA,Round,5750.0
Ideal,J,SI1,1.2,GIA,Oval,4545.0
Ideal,D,SI2,0.3,GIA,Emerald,500.0
Super Ideal,E,VS1,0.53,GIA,Oval,1750.0
Super Ideal,G,VS1,1.0,GIA,Round,7802.67
Super Ideal,I,VS1,0.36,GIA,Round,690.0
Ideal,E,VVS1,1.0,GIA,Heart,6390.0
Very Good,I,SI1,2.01,GIA,Radiant,12500.0
Super Ideal,E,IF,0.36,GIA,Round,1372.73
Ideal,D,SI1,0.41,GIA,Princess,820.0
Ideal,H,SI1,2.0,GIA,Round,14700.0
Ideal,D,VS2,1.0,GIA,Cushion,4925.0
Ideal,G,VS2,2.01,GIA,Pear,19190.0
Ideal,D,SI1,0.5,GIA,Marquise,1398.75
Ideal,G,VS2,1.51,GIA,Cushion,9700.0
Super Ideal,J,VS2,0.52,GIA,Princess,1050.0
Super Ideal,J,VVS2,0.51,GIA,Emerald,1100.0
Super Ideal,F,VVS2,0.5,GIA,Emerald,1445.0
Ideal,F,SI2,1.5,IGI,Princess,5840.0
Ideal,G,VS1,1.01,GIA,Radiant,4260.0
Ideal,I,VS1,1.22,GIA,Emerald,4840.0
Super Ideal,G,VVS1,0.36,GIA,Emerald,760.0
Ideal,H,VS1,2.71,GIA,Princess,19360.0
Ideal,F,SI2,0.31,GIA,Marquise,546.67
Super Ideal,E,SI1,0.9,GIA,Round,4242.22
Super Ideal,J,SI2,2.02,GIA,Round,10120.0
Ideal,D,IF,0.3,GIA,Marquise,1050.0
Ideal,H,VS2,0.33,GIA,Emerald,600.0
Very Good,D,VS1,0.45,GIA,Round,1381.67
Ideal,G,VS2,1.02,GIA,Princess,4270.0
Ideal,F,SI2,1.2,IGI,Round,5363.33
Very Good,F,VS1,0.35,GIA,Round,1070.0
Super Ideal,D,FL,0.4,GIA,Round,2443.33
Super Ideal,J,VVS1,0.44,GIA,Round,850.0
