cut,color,clarity,carat,report,shape,price
Very Good,F,VS2,0.57,IGI,Pear,630.0
Very Good,E,VVS2,1.98,IGI,Pear,7450.0
Ideal,G,VS2,1.52,IGI,Round,3720.0
Ideal,H,VS2,0.8,IGI,Pear,1020.0
Very Good,H,SI1,1.01,IGI,Round,2270.0
Ideal,H,VVS2,2.51,GCAL,Cushion,7860.0
Super Ideal,F,SI1,2.08,IGI,Round,6540.0
Ideal,F,VVS1,1.5,IGI,Princess,5060.0
Very Good,E,VVS2,1.03,IGI,Cushion,2610.0
Good,E,VS2,0.63,IGI,Emerald,750.0
Ideal,D,IF,1.29,IGI,Pear,6160.0
Super Ideal,G,VS2,1.57,IGI,Round,3985.0
Super Ideal,F,VS1,0.91,IGI,Round,1790.0
Ideal,F,VS2,1.15,IGI,Pear,2280.0
Ideal,D,VVS2,0.75,IGI,Pear,1450.0
Ideal,J,VS1,0.72,IGI,Round,800.0
Super Ideal,F,VS2,3.02,IGI,Round,16680.0
Ideal,H,VS2,1.37,IGI,Round,2590.0
Ideal,E,VS1,1.23,IGI,Round,2870.0
Super Ideal,J,SI1,2.01,IGI,Round,3869.23
Very Good,E,VVS1,0.8,IGI,Pear,1510.0
Very Good,I,SI2,1.17,GCAL,Round,1450.0
Very Good,D,VVS1,2.01,IGI,Cushion,14500.0
Ideal,E,VS2,0.6,IGI,Round,810.0
Very Good,G,VS2,1.0,IGI,Pear,1906.67
Ideal,F,VVS2,0.36,IGI,Round,420.0
Good,E,VVS2,0.61,IGI,Oval,810.0
Very Good,E,VVS2,0.51,IGI,Emerald,680.0
Ideal,H,VS1,2.24,IGI,Round,7710.0
Super Ideal,I,VS1,0.54,IGI,Round,600.0
Super Ideal,D,VS1,0.52,IGI,Pear,770.0
Good,E,VS2,0.51,IGI,Radiant,610.0
Super Ideal,G,VS1,2.07,IGI,Round,7361.25
Very Good,I,VVS2,1.51,IGI,Round,3030.0
Ideal,F,VS1,0.5,IGI,Round,693.33
Very Good,D,VS1,0.53,GCAL,Oval,780.0
Ideal,G,SI2,0.72,IGI,Round,770.0
Ideal,E,SI2,0.9,IGI,Oval,1340.0
Super Ideal,G,VS2,1.29,IGI,Oval,2510.0
Ideal,I,VS1,3.02,IGI,Cushion,8780.0
Ideal,D,VS1,0.7,IGI,Heart,1290.0
Super Ideal,H,SI2,0.7,IGI,Oval,735.0
Very Good,E,VS2,3.01,IGI,Cushion,14340.0
Super Ideal,H,SI2,3.1,IGI,Princess,11990.0
Ideal,H,VS1,1.0,IGI,Oval,1730.0
Ideal,D,VS1,1.52,IGI,Pear,5140.0
Very Good,E,VS1,0.84,GCAL,Pear,1410.0
Super Ideal,I,VS1,2.5,IGI,Oval,6220.0
Very Good,F,SI1,0.7,GCAL,Oval,920.0
Very Good,J,VS2,0.41,IGI,Radiant,380.0
Super Ideal,F,VS1,0.3,GCAL,Round,340.0
Ideal,E,SI1,0.33,IGI,Oval,330.0
Super Ideal,I,VVS2,2.12,IGI,Oval,4850.0
Good,E,VS1,0.62,IGI,Cushion,800.0
Super Ideal,J,VS1,1.03,IGI,Oval,1290.0
Good,D,VS1,0.38,IGI,Oval,400.0
Very Good,E,SI1,0.51,GCAL,Emerald,530.0
Ideal,H,VVS2,1.03,IGI,Round,2050.0
Very Good,G,SI1,2.14,GCAL,Princess,5370.0
Super Ideal,G,VS2,2.2,IGI,Round,7380.0
Super Ideal,H,VVS2,1.78,IGI,Emerald,4640.0
Ideal,D,VS2,0.5,IGI,Pear,700.0
Very Good,G,VS2,0.71,IGI,Emerald,980.0
Very Good,I,VS2,1.5,IGI,Heart,2520.0
Ideal,J,VVS2,2.0,GCAL,Round,4270.0
Ideal,J,SI2,2.01,IGI,Princess,3550.0
Super Ideal,G,VS2,1.91,GCAL,Round,5630.0
Ideal,I,SI2,1.33,IGI,Round,1740.0
Ideal,D,VS1,0.51,IGI,Oval,755.0
Very Good,J,SI1,2.0,GCAL,Round,3400.0
Super Ideal,F,VS2,2.15,IGI,Princess,6830.0
Very Good,D,SI1,0.8,IGI,Oval,1250.0
Super Ideal,I,SI1,1.08,IGI,Round,1822.14
Ideal,H,VS2,1.2,IGI,Round,2186.67
Ideal,F,SI2,0.7,IGI,Round,821.67
Ideal,F,VS1,1.04,GCAL,Round,2420.0
Ideal,H,VS2,1.7,IGI,Cushion,3750.0
Super Ideal,I,VS2,1.83,IGI,Oval,3970.0
Ideal,I,VS2,0.94,IGI,Marquise,1250.0
Good,I,SI1,1.17,IGI,Cushion,1570.0
Super Ideal,I,VS2,1.65,IGI,Oval,3390.0
Super Ideal,F,VS2,0.6,IGI,Round,766.0
Ideal,F,VVS2,2.32,IGI,Round,12010.0
Very Good,D,VS2,1.0,IGI,Round,2315.0
Ideal,I,SI1,0.81,IGI,Round,840.0
Very Good,F,SI1,0.81,IGI,Pear,1080.0
Good,E,VS1,0.81,IGI,Cushion,1350.0
Super Ideal,E,VS1,3.24,IGI,Radiant,19190.0
Very Good,G,VVS2,2.5,IGI,Round,11090.0
Ideal,H,VS2,2.18,GCAL,Round,6720.0
Ideal,D,VVS2,0.62,IGI,Round,1106.67
Super Ideal,I,VS1,1.13,GCAL,Round,1790.0
Ideal,F,SI2,0.72,IGI,Round,880.0
Ideal,G,VVS2,0.91,IGI,Round,1945.0
Super Ideal,I,SI1,0.9,IGI,Princess,1150.0
Ideal,E,VS1,2.15,GCAL,Princess,8440.0
Good,G,VS2,0.73,IGI,Pear,1140.0
Ideal,F,VS2,0.7,GCAL,Round,1010.0
Ideal,G,VS2,2.05,IGI,Emerald,7870.0
Very Good,D,VS2,0.7,IGI,Pear,1260.0
Super Ideal,D,VVS1,0.33,IGI,Round,480.0
Super Ideal,F,VVS2,1.1,IGI,Round,2877.5
Ideal,H,VS2,2.71,IGI,Princess,8060.0
Ideal,E,VS2,3.04,GCAL,Emerald,14640.0
Ideal,G,VS2,2.67,IGI,Oval,8860.0
Super Ideal,I,SI1,1.03,IGI,Oval,1320.0
Very Good,G,VS2,0.4,IGI,Pear,400.0
Ideal,G,VS2,2.06,IGI,Round,6225.0
Ideal,E,VVS2,2.5,IGI,Oval,12410.0
Super Ideal,H,VS1,1.51,IGI,Round,4002.5
Super Ideal,D,VS1,0.47,IGI,Round,560.0
Ideal,H,VS2,2.02,GCAL,Emerald,6040.0
Ideal,E,VS1,1.03,GCAL,Oval,2390.0
Ideal,J,VVS2,1.77,IGI,Round,3200.0
Very Good,F,SI2,1.21,IGI,Asscher,1700.0
